impact_category,pathway_id,pathway,value,type,sub_type
Ozone depletion,natural_graphite_engels_et_al,Natural Graphite (Engels et al.),1.57E-07,market_natural,market_natural
Global warming,natural_graphite_engels_et_al,Natural Graphite (Engels et al.),4.952,market_natural,market_natural
Smog,natural_graphite_engels_et_al,Natural Graphite (Engels et al.),0.3454,market_natural,market_natural
Acidification,natural_graphite_engels_et_al,Natural Graphite (Engels et al.),0.03353,market_natural,market_natural
Eutrophication,natural_graphite_engels_et_al,Natural Graphite (Engels et al.),0.006963,market_natural,market_natural
Carcinogenics,natural_graphite_engels_et_al,Natural Graphite (Engels et al.),1.93E-07,market_natural,market_natural
Non carcinogenics,natural_graphite_engels_et_al,Natural Graphite (Engels et al.),6.98E-07,market_natural,market_natural
Respiratory effects,natural_graphite_engels_et_al,Natural Graphite (Engels et al.),0.003886,market_natural,market_natural
Ecotoxicity,natural_graphite_engels_et_al,Natural Graphite (Engels et al.),18.2,market_natural,market_natural
Fossil fuel depletion,natural_graphite_engels_et_al,Natural Graphite (Engels et al.),2.58,market_natural,market_natural
Ozone depletion,natural_graphite_engels_et_al,Natural Graphite (Engels et al.),1.09E-07,market_natural,market_natural_us
Global warming,natural_graphite_engels_et_al,Natural Graphite (Engels et al.),3.549631744,market_natural,market_natural_us
Smog,natural_graphite_engels_et_al,Natural Graphite (Engels et al.),0.236951085,market_natural,market_natural_us
Acidification,natural_graphite_engels_et_al,Natural Graphite (Engels et al.),0.016585627,market_natural,market_natural_us
Eutrophication,natural_graphite_engels_et_al,Natural Graphite (Engels et al.),0.016541031,market_natural,market_natural_us
Carcinogenics,natural_graphite_engels_et_al,Natural Graphite (Engels et al.),2.48E-07,market_natural,market_natural_us
Non carcinogenics,natural_graphite_engels_et_al,Natural Graphite (Engels et al.),1.49E-06,market_natural,market_natural_us
Respiratory effects,natural_graphite_engels_et_al,Natural Graphite (Engels et al.),0.004322592,market_natural,market_natural_us
Ecotoxicity,natural_graphite_engels_et_al,Natural Graphite (Engels et al.),67.41916713,market_natural,market_natural_us
